86,43
5,36
16,58
66,47
20,37
89,27
56,68
21,42
96,22
72,80
99,10
20,74
59,19
70,23
81,86
53,14
72,60
2,80
10,77
81,76
44,86
3,58
7,32
89,6
61,50
31,74
96,47
100,60
96,66
0,82
17,1
2,43
8,80
15,62
81,28
45,78
48,42
61,82
24,33
23,39
37,20
99,54
5,76
45,74
87,75
61,36
46,94
58,74
73,93
37,53
41,25
88,98
79,43
19,44
60,68
93,46
76,94
20,47
17,70
55,22
12,43
100,87
5,42
54,67
13,93
61,37
99,52
6,18
23,15
93,47
70,12
49,40
42,82
85,74
93,3
2,44
39,29
29,60
13,68
62,69
37,17
83,33
7,86
80,99
7,83
74,35
75,7
41,57
20,97
57,93
23,95
57,74
37,78
55,98
34,30
23,38
38,31
43,54
39,54
6,73
